APMC,Commodity,arrivals_in_qtl Seasonality Type,min_price Seasonality Type,max_price Seasonality Type,modal_price Seasonality Type,district_name,state_name
kalyan,custard apple,multiplicative,not enough data,multiplicative,multiplicative,thane,maharashtra
shegaon,black gram,multiplicative,multiplicative,multiplicative,multiplicative,buldhana,maharashtra
jintur-bori,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,parbhani,maharashtra
jintur,black gram,not enough data,not enough data,not enough data,not enough data,parbhani,maharashtra
junnar-otur,farshi,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
pune-manjri,squash gourd,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
ahmednagar,jaggery,multiplicative,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
rahata,tomato,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
malegaon,cowpea,multiplicative,not enough data,not enough data,not enough data,nasik,maharashtra
raver,bajri,multiplicative,multiplicative,multiplicative,multiplicative,jalgaon,maharashtra
shirpur,black gram,multiplicative,multiplicative,multiplicative,multiplicative,dhule,maharashtra
pune-manjri,spinach,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
dudhani,pigeon pea (tur),multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
dondaicha-sindkheda,bajri,multiplicative,not enough data,not enough data,not enough data,dhule,maharashtra
jintur,mustard,not enough data,not enough data,not enough data,not enough data,parbhani,maharashtra
sangli-phale bhajipalam,grapes,not enough data,multiplicative,not enough data,not enough data,sangli,maharashtra
akkolkot,wheat(husked),multiplicative,multiplicative,not enough data,not enough data,solapur,maharashtra
karad,green chilli,multiplicative,multiplicative,multiplicative,multiplicative,satara,maharashtra
washim,gram,multiplicative,multiplicative,multiplicative,multiplicative,wasim,maharashtra
nagpur,math (bhaji),multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
akluj,maize,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
aurangabad,cucumber,multiplicative,multiplicative,multiplicative,multiplicative,aurangabad,maharashtra
shrirampur,banana,not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
devala,pigeon pea (tur),multiplicative,multiplicative,multiplicative,multiplicative,nasik,maharashtra
sillod-bharadi,gram,multiplicative,not enough data,not enough data,not enough data,aurangabad,maharashtra
kolhapur,wal bhaji,not enough data,not enough data,not enough data,not enough data,kolhapur,maharashtra
indapur,bajri,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
koregaon,ghevda seed,multiplicative,multiplicative,multiplicative,multiplicative,satara,maharashtra
chandrapur,grapes,multiplicative,not enough data,not enough data,not enough data,chandrapur,maharashtra
chikhali,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,buldhana,maharashtra
amarawati-fruit and vegetables,orange,not enough data,not enough data,not enough data,not enough data,amaravathi,maharashtra
kamthi,zendu,not enough data,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
deglur,black gram,not enough data,not enough data,not enough data,not enough data,nanded,maharashtra
nagpur,awala,not enough data,not enough data,not enough data,not enough data,nagpur,maharashtra
solapur,cucumber,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
pombhurni,pigeon pea (tur),not enough data,not enough data,not enough data,not enough data,chandrapur,maharashtra
sinner,soybean,multiplicative,multiplicative,multiplicative,multiplicative,nasik,maharashtra
yeotmal,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,yewatmal,maharashtra
khamgaon,mustard,multiplicative,not enough data,multiplicative,multiplicative,buldhana,maharashtra
kurdwadi,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
digras,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,yewatmal,maharashtra
pune,garlic,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
kille dharur,bajri,multiplicative,multiplicative,multiplicative,multiplicative,beed,maharashtra
manora,gram,multiplicative,multiplicative,multiplicative,multiplicative,wasim,maharashtra
amarawati,chillies(red),multiplicative,multiplicative,not enough data,not enough data,amaravathi,maharashtra
jalgaon,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,jalgaon,maharashtra
yeola,black gram,not enough data,not enough data,not enough data,not enough data,nasik,maharashtra
lasur station,potato,not enough data,not enough data,not enough data,not enough data,aurangabad,maharashtra
osmanabad,beet root,not enough data,not enough data,not enough data,not enough data,osmanabad,maharashtra
tumsar,castor seed,multiplicative,multiplicative,multiplicative,multiplicative,bhandara,maharashtra
chikhali,black gram,multiplicative,multiplicative,multiplicative,multiplicative,buldhana,maharashtra
karad,apple,multiplicative,multiplicative,multiplicative,multiplicative,satara,maharashtra
vita,green chilli,multiplicative,not enough data,not enough data,not enough data,sangli,maharashtra
umared,soybean,multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
umarga,jaggery,not enough data,not enough data,not enough data,not enough data,osmanabad,maharashtra
purna,cotton,not enough data,not enough data,not enough data,not enough data,parbhani,maharashtra
shahada,sunflower,not enough data,not enough data,not enough data,not enough data,nandurbar,maharashtra
navapur,bajri,not enough data,not enough data,not enough data,not enough data,nandurbar,maharashtra
sengaon,black gram,not enough data,multiplicative,multiplicative,multiplicative,hingoli,maharashtra
chandvad,ladies finger,not enough data,not enough data,multiplicative,multiplicative,nasik,maharashtra
pune-moshi,garlic,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
junnar (narayangaon),coriander ,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
hadgaon-tamsa,wheat(husked),multiplicative,not enough data,not enough data,not enough data,nanded,maharashtra
khed,shepu,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
kalvan,chillies(red),not enough data,not enough data,not enough data,not enough data,nasik,maharashtra
pune,chillies(red),multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
pune-manjri,ghosali(bhaji),multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
manchar,cabbage,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
kolhapur,ginger (fresh),multiplicative,multiplicative,multiplicative,multiplicative,kolhapur,maharashtra
satara,bottle gourd,multiplicative,multiplicative,multiplicative,multiplicative,satara,maharashtra
ulhasnagar,potato,not enough data,not enough data,not enough data,not enough data,thane,maharashtra
pune-pimpri,sorgum(jawar),not enough data,not enough data,not enough data,not enough data,pune,maharashtra
akluj,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
nira,sorgum(jawar),not enough data,multiplicative,not enough data,not enough data,pune,maharashtra
kamthi,raddish,multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
vai,tomato,multiplicative,multiplicative,multiplicative,multiplicative,satara,maharashtra
chandrapur-ganjwad,other vegetables,not enough data,not enough data,not enough data,not enough data,chandrapur,maharashtra
kalyan,banana(raw),not enough data,not enough data,not enough data,not enough data,thane,maharashtra
ramtek,green gram,not enough data,not enough data,not enough data,not enough data,nagpur,maharashtra
manmad,capsicum,not enough data,not enough data,not enough data,not enough data,nasik,maharashtra
udgir,black gram,multiplicative,multiplicative,multiplicative,multiplicative,latur,maharashtra
jafrabad,pigeon pea (tur),not enough data,not enough data,not enough data,not enough data,jalna,maharashtra
nandurbar,castor seed,not enough data,not enough data,not enough data,not enough data,nandurbar,maharashtra
basmat,cotton,multiplicative,multiplicative,not enough data,not enough data,hingoli,maharashtra
navapur,green chilli,not enough data,not enough data,not enough data,not enough data,nandurbar,maharashtra
bhadrawati,cotton,not enough data,not enough data,not enough data,not enough data,chandrapur,maharashtra
amarawati-fruit and vegetables,capsicum,not enough data,not enough data,not enough data,not enough data,amaravathi,maharashtra
solapur,lemon,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
morshi,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,amaravathi,maharashtra
rahuri,potato,not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
mauda,soybean,not enough data,not enough data,not enough data,not enough data,nagpur,maharashtra
shirur,safflower,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
jalna,cowpea,not enough data,not enough data,not enough data,not enough data,jalna,maharashtra
nagpur,garlic,multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
kolhapur,math (bhaji),multiplicative,multiplicative,multiplicative,multiplicative,kolhapur,maharashtra
tasgaon,soybean,multiplicative,not enough data,not enough data,not enough data,sangli,maharashtra
murum,pigeon pea (tur),multiplicative,multiplicative,multiplicative,multiplicative,osmanabad,maharashtra
kalyan,cow,not enough data,not enough data,not enough data,not enough data,thane,maharashtra
kalyan,rice(paddy-hus),multiplicative,multiplicative,multiplicative,multiplicative,thane,maharashtra
chalisgaon,sunflower,multiplicative,multiplicative,multiplicative,multiplicative,jalgaon,maharashtra
shevgaon,soybean,not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
kannad,bajri,multiplicative,multiplicative,multiplicative,multiplicative,aurangabad,maharashtra
raver-sawada,gram,not enough data,not enough data,not enough data,not enough data,jalgaon,maharashtra
ahmedpur,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,latur,maharashtra
baramati,sunflower,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
wardha,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,wardha,maharashtra
mauda,water melon,not enough data,not enough data,not enough data,not enough data,nagpur,maharashtra
kalamb (os),sesamum,multiplicative,multiplicative,multiplicative,multiplicative,osmanabad,maharashtra
manchar,sweet potato,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
pimpalgaon basawant,onion,multiplicative,multiplicative,multiplicative,multiplicative,nasik,maharashtra
sinner,horse gram,not enough data,not enough data,not enough data,not enough data,nasik,maharashtra
dound,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
barshi,water melon,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
osmanabad,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,osmanabad,maharashtra
shrirampur,potato,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
chakur,sorgum(jawar),not enough data,multiplicative,not enough data,not enough data,latur,maharashtra
ahmedpur,safflower,multiplicative,multiplicative,multiplicative,multiplicative,latur,maharashtra
ahmedpur,black gram,not enough data,not enough data,not enough data,not enough data,latur,maharashtra
jintur-bori,green gram,not enough data,not enough data,multiplicative,multiplicative,parbhani,maharashtra
umarkhed-danki,gram,multiplicative,multiplicative,multiplicative,multiplicative,yewatmal,maharashtra
barshi,pigeon pea (tur),multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
karad,bor,multiplicative,multiplicative,multiplicative,multiplicative,satara,maharashtra
barshi,kanda pat,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
kalyan,aster,not enough data,not enough data,not enough data,not enough data,thane,maharashtra
sangrampur,green gram,multiplicative,multiplicative,multiplicative,multiplicative,buldhana,maharashtra
ratanagari,bottle gourd,multiplicative,multiplicative,multiplicative,multiplicative,ratnagiri,maharashtra
tasgaon,castor seed,not enough data,not enough data,not enough data,not enough data,sangli,maharashtra
karjat (a- nagar),pigeon pea (tur),not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
amarawati,sesamum,multiplicative,multiplicative,multiplicative,multiplicative,amaravathi,maharashtra
paithan,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,aurangabad,maharashtra
umared,rice(paddy-hus),multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
ahmednagar,math (bhaji),not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
pune-pimpri,potato,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
murtizapur,black gram,not enough data,not enough data,not enough data,not enough data,akola,maharashtra
kolhapur,ground nut pods (dry),not enough data,multiplicative,multiplicative,multiplicative,kolhapur,maharashtra
ghoti,squash gourd,not enough data,not enough data,not enough data,not enough data,nasik,maharashtra
sakri,sesamum,additive,not enough data,not enough data,not enough data,dhule,maharashtra
mangalwedha,ridge gourd,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
amarawati-fruit and vegetables,beet root,multiplicative,not enough data,not enough data,not enough data,amaravathi,maharashtra
varora,cotton,not enough data,not enough data,not enough data,not enough data,chandrapur,maharashtra
dharni,cotton,not enough data,multiplicative,multiplicative,multiplicative,amaravathi,maharashtra
lohara,black gram,not enough data,not enough data,not enough data,not enough data,osmanabad,maharashtra
vasai,bajri,not enough data,not enough data,not enough data,not enough data,thane,maharashtra
mumbai-fruit market,litchi,not enough data,not enough data,not enough data,not enough data,mumbai,maharashtra
sironcha,paddy-unhusked,not enough data,not enough data,not enough data,not enough data,gadchiroli,maharashtra
osmanabad,flower,multiplicative,multiplicative,multiplicative,multiplicative,osmanabad,maharashtra
mumbai-fruit market,guava,not enough data,not enough data,not enough data,not enough data,mumbai,maharashtra
nanded,mustard,not enough data,not enough data,not enough data,not enough data,nanded,maharashtra
sillod,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,aurangabad,maharashtra
ahmednagar,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
ghatanji,cotton,multiplicative,not enough data,not enough data,not enough data,yewatmal,maharashtra
naigaon,black gram,multiplicative,not enough data,not enough data,not enough data,nanded,maharashtra
deulgaon raja,cotton,multiplicative,multiplicative,multiplicative,multiplicative,buldhana,maharashtra
vani,soybean,multiplicative,multiplicative,multiplicative,multiplicative,yewatmal,maharashtra
sengaon,green gram,not enough data,not enough data,not enough data,not enough data,hingoli,maharashtra
tumsar,soybean,not enough data,not enough data,not enough data,not enough data,bhandara,maharashtra
deglur,pigeon pea (tur),not enough data,not enough data,not enough data,not enough data,nanded,maharashtra
kalyan,shewanti,not enough data,not enough data,not enough data,not enough data,thane,maharashtra
parola,green gram,not enough data,not enough data,multiplicative,multiplicative,jalgaon,maharashtra
amarawati-fruit and vegetables,papai,not enough data,not enough data,not enough data,not enough data,amaravathi,maharashtra
pune,ladies finger,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
nampur,maize,not enough data,not enough data,multiplicative,multiplicative,nasik,maharashtra
vai,sorgum(jawar),not enough data,not enough data,not enough data,not enough data,satara,maharashtra
mohol,black gram,multiplicative,not enough data,not enough data,not enough data,solapur,maharashtra
kada,sunflower,not enough data,not enough data,not enough data,not enough data,beed,maharashtra
khed (shel pimpalgaon),farshi,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
karad,pavtta,multiplicative,multiplicative,multiplicative,multiplicative,satara,maharashtra
kolhapur-laxmipuri,gram,multiplicative,multiplicative,multiplicative,multiplicative,kolhapur,maharashtra
shrirampur,sunflower,not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
vita,cow,not enough data,not enough data,not enough data,not enough data,sangli,maharashtra
basmat,castor seed,not enough data,not enough data,not enough data,not enough data,hingoli,maharashtra
pune-pimpri,capsicum,multiplicative,multiplicative,not enough data,not enough data,pune,maharashtra
mumbai,garlic,multiplicative,multiplicative,multiplicative,multiplicative,mumbai,maharashtra
vani,pigeon pea (tur),multiplicative,multiplicative,multiplicative,multiplicative,yewatmal,maharashtra
akot,gram,multiplicative,multiplicative,multiplicative,multiplicative,akola,maharashtra
ratanagari,onion,not enough data,not enough data,not enough data,not enough data,ratnagiri,maharashtra
ramtek,coriander ,not enough data,not enough data,not enough data,not enough data,nagpur,maharashtra
kolhapur-laxmipuri,green gram,multiplicative,multiplicative,multiplicative,multiplicative,kolhapur,maharashtra
chalisgaon,tomato,not enough data,multiplicative,multiplicative,multiplicative,jalgaon,maharashtra
kille dharur,cotton,multiplicative,multiplicative,multiplicative,multiplicative,beed,maharashtra
osmanabad,ghevda,multiplicative,multiplicative,multiplicative,multiplicative,osmanabad,maharashtra
karad,brinjal,multiplicative,multiplicative,multiplicative,multiplicative,satara,maharashtra
pune,banana(raw),not enough data,not enough data,multiplicative,multiplicative,pune,maharashtra
bhokardan-pimpalgaon renu,bajri,multiplicative,not enough data,not enough data,not enough data,jalna,maharashtra
hadgaon,soybean,multiplicative,multiplicative,multiplicative,multiplicative,nanded,maharashtra
amarawati,custard apple,not enough data,not enough data,not enough data,not enough data,amaravathi,maharashtra
hanegaon,other cereals,not enough data,not enough data,not enough data,not enough data,nanded,maharashtra
gangapur,cotton,not enough data,not enough data,not enough data,not enough data,aurangabad,maharashtra
phaltan,maize,multiplicative,multiplicative,multiplicative,multiplicative,satara,maharashtra
aheri,soybean,multiplicative,multiplicative,multiplicative,multiplicative,gadchiroli,maharashtra
naigaon,soybean,multiplicative,not enough data,not enough data,not enough data,nanded,maharashtra
savner,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
ramtek,chillies(red),not enough data,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
solapur,shepu,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
vai,cabbage,multiplicative,multiplicative,multiplicative,multiplicative,satara,maharashtra
aheri,linseed,not enough data,not enough data,not enough data,not enough data,gadchiroli,maharashtra
nandura,green gram,multiplicative,multiplicative,multiplicative,multiplicative,buldhana,maharashtra
pachora,wheat(husked),multiplicative,not enough data,not enough data,not enough data,jalgaon,maharashtra
shahada,green gram,multiplicative,multiplicative,multiplicative,multiplicative,nandurbar,maharashtra
kolhapur,flower,multiplicative,multiplicative,multiplicative,multiplicative,kolhapur,maharashtra
nira-saswad,coriander (dry),not enough data,not enough data,not enough data,not enough data,pune,maharashtra
ratanagari,kanda pat,not enough data,not enough data,not enough data,not enough data,ratnagiri,maharashtra
barshi,cabbage,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
nagpur,dhemse,multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
risod,sesamum,not enough data,not enough data,not enough data,not enough data,wasim,maharashtra
kalvan,green gram,not enough data,not enough data,not enough data,not enough data,nasik,maharashtra
dhule,bottle gourd,not enough data,not enough data,not enough data,not enough data,dhule,maharashtra
shevgaon-bodhegaon,bajri,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
patan,tomato,multiplicative,multiplicative,multiplicative,multiplicative,satara,maharashtra
bhokardan,bajri,not enough data,not enough data,not enough data,not enough data,jalna,maharashtra
ausa,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,latur,maharashtra
sangamner,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
pune-moshi,ground nut pods (dry),not enough data,not enough data,not enough data,not enough data,pune,maharashtra
anajngaon surji,pigeon pea (tur),multiplicative,multiplicative,multiplicative,multiplicative,amaravathi,maharashtra
amarawati,cluster bean,multiplicative,multiplicative,multiplicative,multiplicative,amaravathi,maharashtra
jintur-bori,safflower,multiplicative,not enough data,not enough data,not enough data,parbhani,maharashtra
buldhana-dhad,maize,not enough data,not enough data,not enough data,not enough data,buldhana,maharashtra
jintur-bori,black gram,not enough data,not enough data,not enough data,not enough data,parbhani,maharashtra
shrirampur,papai,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
pune-pimpri,gram,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
khed-chakan,bottle gourd,not enough data,multiplicative,multiplicative,multiplicative,pune,maharashtra
umared,sunflower,multiplicative,not enough data,not enough data,not enough data,nagpur,maharashtra
dondaicha,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,dhule,maharashtra
ashti-karanja,wheat(husked),multiplicative,multiplicative,not enough data,not enough data,wardha,maharashtra
karanja,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,wasim,maharashtra
savali,paddy-unhusked,multiplicative,multiplicative,multiplicative,multiplicative,chandrapur,maharashtra
jamner,green gram,not enough data,not enough data,not enough data,not enough data,jalgaon,maharashtra
aurangabad,onion,multiplicative,multiplicative,multiplicative,multiplicative,aurangabad,maharashtra
solapur,green gram,multiplicative,not enough data,not enough data,not enough data,solapur,maharashtra
bhiwapur,coriander (dry),not enough data,not enough data,not enough data,not enough data,nagpur,maharashtra
ambad(vadi godri),green gram,multiplicative,not enough data,not enough data,not enough data,jalna,maharashtra
basmat (kurunda),black gram,not enough data,not enough data,not enough data,not enough data,hingoli,maharashtra
achalpur,rajgira,not enough data,not enough data,not enough data,not enough data,amaravathi,maharashtra
palghar(bevur),rice(paddy-hus),multiplicative,multiplicative,multiplicative,multiplicative,thane,maharashtra
chandrapur-ganjwad,small gourd,multiplicative,multiplicative,multiplicative,multiplicative,chandrapur,maharashtra
sindkhed raja,bajri,not enough data,not enough data,not enough data,not enough data,buldhana,maharashtra
shrigonda,wheat(husked),multiplicative,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
mumbai-fruit market,chikoo,multiplicative,not enough data,not enough data,not enough data,mumbai,maharashtra
hingoli-kanegaon naka,turmeric,not enough data,not enough data,not enough data,not enough data,hingoli,maharashtra
bhiwapur,cotton,multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
vaduj,gram,multiplicative,multiplicative,multiplicative,multiplicative,satara,maharashtra
kinwat,green gram,not enough data,not enough data,not enough data,not enough data,nanded,maharashtra
pune,cluster bean,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
shirur,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
jalgaon,orange,multiplicative,multiplicative,multiplicative,multiplicative,jalgaon,maharashtra
tuljapur,safflower,not enough data,not enough data,not enough data,not enough data,osmanabad,maharashtra
navapur,other pulses,not enough data,not enough data,not enough data,not enough data,nandurbar,maharashtra
vita,brinjal,not enough data,not enough data,not enough data,not enough data,sangli,maharashtra
vaijapur,thymol/lovage,not enough data,not enough data,not enough data,not enough data,aurangabad,maharashtra
ghoti,bitter gourd,multiplicative,multiplicative,multiplicative,multiplicative,nasik,maharashtra
manchar,kanda pat,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
lasalgaon,maize,multiplicative,multiplicative,multiplicative,multiplicative,nasik,maharashtra
varud,cotton,multiplicative,multiplicative,multiplicative,multiplicative,amaravathi,maharashtra
satana,onion,multiplicative,multiplicative,multiplicative,multiplicative,nasik,maharashtra
yeotmal,sorgum(jawar),not enough data,not enough data,not enough data,not enough data,yewatmal,maharashtra
khamgaon,maize,multiplicative,multiplicative,multiplicative,multiplicative,buldhana,maharashtra
washim-ansing,green gram,multiplicative,not enough data,multiplicative,multiplicative,wasim,maharashtra
navapur,brinjal,not enough data,not enough data,not enough data,not enough data,nandurbar,maharashtra
mantha,mustard,not enough data,not enough data,not enough data,not enough data,jalna,maharashtra
jalgaon,pomegranate,multiplicative,multiplicative,multiplicative,multiplicative,jalgaon,maharashtra
hingoli-kanegaon naka,gram,not enough data,not enough data,not enough data,not enough data,hingoli,maharashtra
jalgaon,maize(corn.),multiplicative,multiplicative,multiplicative,multiplicative,jalgaon,maharashtra
pune,green peas (dry),multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
ghoti,ladies finger,not enough data,multiplicative,multiplicative,multiplicative,nasik,maharashtra
junnar (alephata),potato,not enough data,multiplicative,not enough data,not enough data,pune,maharashtra
barshi,flower,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
rahuri-songaon,tomato,not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
devala,nagali,not enough data,not enough data,not enough data,not enough data,nasik,maharashtra
nilanga,black gram,not enough data,multiplicative,not enough data,not enough data,latur,maharashtra
ambejogai,soybean,multiplicative,multiplicative,multiplicative,multiplicative,beed,maharashtra
parbhani,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,parbhani,maharashtra
shrirampur,bottle gourd,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
bhoom,soybean,not enough data,not enough data,not enough data,not enough data,osmanabad,maharashtra
junnar-otur,pavtta,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
sangrampur,wheat(husked),multiplicative,not enough data,not enough data,not enough data,buldhana,maharashtra
paithan,cotton,not enough data,not enough data,not enough data,not enough data,aurangabad,maharashtra
kolhapur-malkapur,flower,multiplicative,not enough data,not enough data,not enough data,kolhapur,maharashtra
yeotmal,gram,multiplicative,multiplicative,multiplicative,multiplicative,yewatmal,maharashtra
yawal,cotton,not enough data,not enough data,not enough data,not enough data,jalgaon,maharashtra
bodwad-varangaon,wheat(husked),not enough data,not enough data,not enough data,not enough data,jalgaon,maharashtra
jintur-bori,wheat(husked),not enough data,multiplicative,multiplicative,multiplicative,parbhani,maharashtra
ambejogai,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,beed,maharashtra
vaijapur,cotton,not enough data,not enough data,not enough data,not enough data,aurangabad,maharashtra
hinganghat,soybean,multiplicative,multiplicative,multiplicative,multiplicative,wardha,maharashtra
ramtek,pavtta,not enough data,not enough data,not enough data,not enough data,nagpur,maharashtra
chandur rly.,gram,multiplicative,multiplicative,multiplicative,multiplicative,amaravathi,maharashtra
mandhal,cotton,not enough data,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
pune-pimpri,carrot,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
hingoli,soybean,multiplicative,multiplicative,multiplicative,multiplicative,hingoli,maharashtra
kopargaon,soybean,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
parli-vaijnath,maize,not enough data,not enough data,not enough data,not enough data,beed,maharashtra
kopargaon,gram,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
aurad shahajani,safflower,not enough data,not enough data,not enough data,not enough data,latur,maharashtra
chandvad,brinjal,not enough data,not enough data,not enough data,not enough data,nasik,maharashtra
bori,pigeon pea (tur),not enough data,not enough data,not enough data,not enough data,parbhani,maharashtra
kundalwadi,pigeon pea (tur),not enough data,not enough data,not enough data,not enough data,nanded,maharashtra
vaijapur,mustard,not enough data,multiplicative,multiplicative,multiplicative,aurangabad,maharashtra
rahata,shevga,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
chandrapur,ground nut pods (dry),not enough data,not enough data,not enough data,not enough data,chandrapur,maharashtra
katol,maize,multiplicative,not enough data,not enough data,not enough data,nagpur,maharashtra
panvel,coriander  ,not enough data,not enough data,not enough data,not enough data,raigad,maharashtra
sillod,sugarcane,not enough data,not enough data,not enough data,not enough data,aurangabad,maharashtra
jalgaon,fenugreek,not enough data,not enough data,not enough data,not enough data,jalgaon,maharashtra
jalgaon,onion,multiplicative,multiplicative,multiplicative,multiplicative,jalgaon,maharashtra
jalna,jaggery,multiplicative,multiplicative,multiplicative,multiplicative,jalna,maharashtra
jamner-neri,black gram,not enough data,not enough data,not enough data,not enough data,jalgaon,maharashtra
kalyan,coriander ,not enough data,not enough data,not enough data,not enough data,thane,maharashtra
karad,lemon,multiplicative,not enough data,not enough data,not enough data,satara,maharashtra
lohara,safflower,not enough data,not enough data,not enough data,not enough data,osmanabad,maharashtra
darwha,soybean,not enough data,not enough data,multiplicative,multiplicative,yewatmal,maharashtra
chandrapur,spinach,not enough data,not enough data,not enough data,not enough data,chandrapur,maharashtra
vadgaon peth,methi (bhaji),multiplicative,not enough data,not enough data,not enough data,kolhapur,maharashtra
pune,potato,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
manchar,bottle gourd,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
lasalgaon,gram,multiplicative,multiplicative,multiplicative,multiplicative,nasik,maharashtra
dharni,pigeon pea (tur),not enough data,multiplicative,multiplicative,multiplicative,amaravathi,maharashtra
chalisgaon,sesamum,not enough data,not enough data,not enough data,not enough data,jalgaon,maharashtra
kamthi,chavli (shenga ),multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
