APMC,Commodity,year,Average Difference Raw,Average Difference Deseasonalised,district_name,state_name
nagpur,small gourd,2015,NO MSP,NO MSP,nagpur,maharashtra
nagpur,small gourd,2016,NO MSP,NO MSP,nagpur,maharashtra
loha,soybean,2014,NO MSP,NO MSP,nanded,maharashtra
loha,soybean,2015,NO MSP,NO MSP,nanded,maharashtra
varora,pigeon pea (tur),2015,1691.833333333333,540.833333333333,chandrapur,maharashtra
varora,pigeon pea (tur),2016,2290.8999999999996,1810.3000000000002,chandrapur,maharashtra
sillod-bharadi,castor seed,2016,NO MSP,NO MSP,aurangabad,maharashtra
dhule,ground nut pods (dry),2014,NO MSP,NO MSP,dhule,maharashtra
dhule,ground nut pods (dry),2015,NO MSP,NO MSP,dhule,maharashtra
dhule,ground nut pods (dry),2016,NO MSP,NO MSP,dhule,maharashtra
khed,shepu,2016,NO MSP,NO MSP,pune,maharashtra
solapur,apple,2014,NO MSP,NO MSP,solapur,maharashtra
solapur,apple,2015,NO MSP,NO MSP,solapur,maharashtra
solapur,apple,2016,NO MSP,NO MSP,solapur,maharashtra
pune-pimpri,small gourd,2015,NO MSP,NO MSP,pune,maharashtra
pune-pimpri,small gourd,2016,NO MSP,NO MSP,pune,maharashtra
mumbai,arvi,2014,NO MSP,NO MSP,mumbai,maharashtra
mumbai,arvi,2015,NO MSP,NO MSP,mumbai,maharashtra
mumbai,arvi,2016,NO MSP,NO MSP,mumbai,maharashtra
amarawati,awala,2014,NO MSP,NO MSP,amaravathi,maharashtra
akkalkuwa,gram,2015,NO MSP,NO MSP,nandurbar,maharashtra
akkalkuwa,gram,2016,NO MSP,NO MSP,nandurbar,maharashtra
narkhed,orange,2014,NO MSP,NO MSP,nagpur,maharashtra
narkhed,orange,2015,NO MSP,NO MSP,nagpur,maharashtra
narkhed,orange,2016,NO MSP,NO MSP,nagpur,maharashtra
chandur bajar,gram,2014,NO MSP,NO MSP,amaravathi,maharashtra
chandur bajar,gram,2015,NO MSP,NO MSP,amaravathi,maharashtra
chandur bajar,gram,2016,NO MSP,NO MSP,amaravathi,maharashtra
manchar,flower,2014,NO MSP,NO MSP,pune,maharashtra
manchar,flower,2015,NO MSP,NO MSP,pune,maharashtra
manchar,flower,2016,NO MSP,NO MSP,pune,maharashtra
sengaon,turmeric,2015,NO MSP,NO MSP,hingoli,maharashtra
sengaon,turmeric,2016,NO MSP,NO MSP,hingoli,maharashtra
amarawati,naspatti ,2016,NO MSP,NO MSP,amaravathi,maharashtra
nagpur,maize,2015,-62.5,-62.5,nagpur,maharashtra
nagpur,maize,2016,-82.5,-82.5,nagpur,maharashtra
rahata,cluster bean,2014,NO MSP,NO MSP,ahmadnagar,maharashtra
rahata,cluster bean,2015,NO MSP,NO MSP,ahmadnagar,maharashtra
rahata,cluster bean,2016,NO MSP,NO MSP,ahmadnagar,maharashtra
manmad,green gram,2014,NO MSP,NO MSP,nasik,maharashtra
manmad,green gram,2015,NO MSP,NO MSP,nasik,maharashtra
manmad,green gram,2016,NO MSP,NO MSP,nasik,maharashtra
nandurbar,maize,2014,-195.5,-358.0,nandurbar,maharashtra
nandurbar,maize,2015,-90.83333333333326,-89.58333333333326,nandurbar,maharashtra
nandurbar,maize,2016,11.454545454545496,-56.27272727272725,nandurbar,maharashtra
malegaon,ground nut pods (dry),2014,NO MSP,NO MSP,nasik,maharashtra
malegaon,ground nut pods (dry),2015,NO MSP,NO MSP,nasik,maharashtra
malegaon,ground nut pods (dry),2016,NO MSP,NO MSP,nasik,maharashtra
sinner,soybean,2014,NO MSP,NO MSP,nasik,maharashtra
sinner,soybean,2015,NO MSP,NO MSP,nasik,maharashtra
sinner,soybean,2016,NO MSP,NO MSP,nasik,maharashtra
akhadabalapur,sorgum(jawar),2014,-50.0,-559.0,hingoli,maharashtra
akhadabalapur,sorgum(jawar),2015,-147.875,-147.25,hingoli,maharashtra
akhadabalapur,sorgum(jawar),2016,-123.88888888888891,-219.55555555555566,hingoli,maharashtra
aurangabad,custard apple,2014,NO MSP,NO MSP,aurangabad,maharashtra
aurangabad,custard apple,2015,NO MSP,NO MSP,aurangabad,maharashtra
aurangabad,custard apple,2016,NO MSP,NO MSP,aurangabad,maharashtra
bhivandi,male goat,2014,NO MSP,NO MSP,thane,maharashtra
bhivandi,male goat,2015,NO MSP,NO MSP,thane,maharashtra
bhivandi,male goat,2016,NO MSP,NO MSP,thane,maharashtra
kamthi,dhemse,2014,NO MSP,NO MSP,nagpur,maharashtra
kamthi,dhemse,2015,NO MSP,NO MSP,nagpur,maharashtra
kamthi,dhemse,2016,NO MSP,NO MSP,nagpur,maharashtra
nashik-devlali,raddish,2016,NO MSP,NO MSP,nasik,maharashtra
kolhapur-malkapur,coriander  ,2016,NO MSP,NO MSP,kolhapur,maharashtra
osmanabad,onion,2014,NO MSP,NO MSP,osmanabad,maharashtra
osmanabad,onion,2015,NO MSP,NO MSP,osmanabad,maharashtra
osmanabad,onion,2016,NO MSP,NO MSP,osmanabad,maharashtra
nanded,turmeric,2014,NO MSP,NO MSP,nanded,maharashtra
nanded,turmeric,2015,NO MSP,NO MSP,nanded,maharashtra
nanded,turmeric,2016,NO MSP,NO MSP,nanded,maharashtra
purna,black gram,2015,NO MSP,NO MSP,parbhani,maharashtra
purna,black gram,2016,NO MSP,NO MSP,parbhani,maharashtra
pathardi,chino,2015,NO MSP,NO MSP,ahmadnagar,maharashtra
jamkhed,bajri,2014,62.25,-433.5,ahmadnagar,maharashtra
jamkhed,bajri,2015,104.75,64.83333333333326,ahmadnagar,maharashtra
jamkhed,bajri,2016,160.33333333333326,-46.66666666666674,ahmadnagar,maharashtra
kalmeshwar,bitter gourd,2015,NO MSP,NO MSP,nagpur,maharashtra
satara,green chilli,2014,NO MSP,NO MSP,satara,maharashtra
satara,green chilli,2015,NO MSP,NO MSP,satara,maharashtra
satara,green chilli,2016,NO MSP,NO MSP,satara,maharashtra
sangali,wheat(husked),2014,199.5,-365.0,sangli,maharashtra
sangali,wheat(husked),2015,138.08333333333326,122.25,sangli,maharashtra
sangali,wheat(husked),2016,NO MSP,NO MSP,sangli,maharashtra
devala,onion,2014,NO MSP,NO MSP,nasik,maharashtra
devala,onion,2015,NO MSP,NO MSP,nasik,maharashtra
devala,onion,2016,NO MSP,NO MSP,nasik,maharashtra
kille dharur,cotton,2014,217.0,-1569.0,beed,maharashtra
kille dharur,cotton,2015,246.28571428571422,40.71428571428578,beed,maharashtra
kille dharur,cotton,2016,483.42857142857156,-43.57142857142844,beed,maharashtra
pune,sweet potato,2014,NO MSP,NO MSP,pune,maharashtra
pune,sweet potato,2015,NO MSP,NO MSP,pune,maharashtra
pune,sweet potato,2016,NO MSP,NO MSP,pune,maharashtra
mumbai,chikoo,2014,NO MSP,NO MSP,mumbai,maharashtra
mumbai,chikoo,2015,NO MSP,NO MSP,mumbai,maharashtra
mumbai,chikoo,2016,NO MSP,NO MSP,mumbai,maharashtra
mumbai-fruit market,naspatti ,2016,NO MSP,NO MSP,mumbai,maharashtra
mangalwedha,brinjal,2014,NO MSP,NO MSP,solapur,maharashtra
mangalwedha,brinjal,2015,NO MSP,NO MSP,solapur,maharashtra
mangalwedha,brinjal,2016,NO MSP,NO MSP,solapur,maharashtra
pune-pimpri,hemp-seed,2016,NO MSP,NO MSP,pune,maharashtra
nilanga,pigeon pea (tur),2014,-360.0,-518.0,latur,maharashtra
nilanga,pigeon pea (tur),2015,4222.5,3232.666666666667,latur,maharashtra
nilanga,pigeon pea (tur),2016,3068.4285714285716,2386.142857142857,latur,maharashtra
kamthi,kanda pat,2014,NO MSP,NO MSP,nagpur,maharashtra
kamthi,kanda pat,2015,NO MSP,NO MSP,nagpur,maharashtra
kamthi,kanda pat,2016,NO MSP,NO MSP,nagpur,maharashtra
lonar,black gram,2014,NO MSP,NO MSP,buldhana,maharashtra
lonar,black gram,2015,NO MSP,NO MSP,buldhana,maharashtra
lonar,black gram,2016,NO MSP,NO MSP,buldhana,maharashtra
kamthi,jack fruit(raw),2015,NO MSP,NO MSP,nagpur,maharashtra
wardha,linseed,2016,NO MSP,NO MSP,wardha,maharashtra
kolhapur,plum,2015,NO MSP,NO MSP,kolhapur,maharashtra
manwat,pigeon pea (tur),2015,2330.75,2330.75,parbhani,maharashtra
manwat,pigeon pea (tur),2016,2166.333333333333,2166.333333333333,parbhani,maharashtra
kurdwadi,sunflower,2015,-608.0,-608.0,solapur,maharashtra
kurdwadi,sunflower,2016,-935.5,-935.5,solapur,maharashtra
sinner,gram,2014,NO MSP,NO MSP,nasik,maharashtra
sinner,gram,2015,NO MSP,NO MSP,nasik,maharashtra
sinner,gram,2016,NO MSP,NO MSP,nasik,maharashtra
pavani,green peas (dry),2016,NO MSP,NO MSP,bhandara,maharashtra
dhule,ginger (fresh),2016,NO MSP,NO MSP,dhule,maharashtra
junnar-otur,bitter gourd,2015,NO MSP,NO MSP,pune,maharashtra
junnar-otur,bitter gourd,2016,NO MSP,NO MSP,pune,maharashtra
mumbai,cluster bean,2015,NO MSP,NO MSP,mumbai,maharashtra
mumbai,cluster bean,2016,NO MSP,NO MSP,mumbai,maharashtra
manchar,tandulja,2015,NO MSP,NO MSP,pune,maharashtra
kalamb (os),tamarind,2015,NO MSP,NO MSP,osmanabad,maharashtra
kalamb (os),tamarind,2016,NO MSP,NO MSP,osmanabad,maharashtra
pune-pimpri,fenugreek,2016,NO MSP,NO MSP,pune,maharashtra
shirur,black gram,2015,NO MSP,NO MSP,pune,maharashtra
shirur,black gram,2016,NO MSP,NO MSP,pune,maharashtra
mumbai,french bean,2014,NO MSP,NO MSP,mumbai,maharashtra
mumbai,french bean,2015,NO MSP,NO MSP,mumbai,maharashtra
mumbai,french bean,2016,NO MSP,NO MSP,mumbai,maharashtra
sindkhed raja,maize,2015,-15.0,-15.0,buldhana,maharashtra
sindkhed raja,maize,2016,-245.0,-245.0,buldhana,maharashtra
vai,sorgum(jawar),2016,-816.6666666666666,-816.6666666666666,satara,maharashtra
patur,sorgum(jawar),2014,-112.5,-346.0,akola,maharashtra
patur,sorgum(jawar),2015,-280.91666666666674,-282.41666666666674,akola,maharashtra
patur,sorgum(jawar),2016,-231.090909090909,-272.0,akola,maharashtra
pune-moshi,ghosali(bhaji),2016,NO MSP,NO MSP,pune,maharashtra
khamgaon,male lamb,2015,NO MSP,NO MSP,buldhana,maharashtra
khamgaon,male lamb,2016,NO MSP,NO MSP,buldhana,maharashtra
vaijapur,bajri,2014,-78.25,-224.5,aurangabad,maharashtra
vaijapur,bajri,2015,76.0,54.625,aurangabad,maharashtra
vaijapur,bajri,2016,268.79999999999995,273.5999999999999,aurangabad,maharashtra
ahmednagar,tamarind seed,2015,NO MSP,NO MSP,ahmadnagar,maharashtra
ahmednagar,tamarind seed,2016,NO MSP,NO MSP,ahmadnagar,maharashtra
barshi,tamarind seed,2015,NO MSP,NO MSP,solapur,maharashtra
barshi,tamarind seed,2016,NO MSP,NO MSP,solapur,maharashtra
manchar,small gourd,2015,NO MSP,NO MSP,pune,maharashtra
manchar,small gourd,2016,NO MSP,NO MSP,pune,maharashtra
vaijapur,cotton,2014,175.0,175.0,aurangabad,maharashtra
vaijapur,cotton,2015,161.0,161.0,aurangabad,maharashtra
rahata,capsicum,2014,NO MSP,NO MSP,ahmadnagar,maharashtra
rahata,capsicum,2015,NO MSP,NO MSP,ahmadnagar,maharashtra
rahata,capsicum,2016,NO MSP,NO MSP,ahmadnagar,maharashtra
jawala-bajar,turmeric,2015,NO MSP,NO MSP,hingoli,maharashtra
jawala-bajar,turmeric,2016,NO MSP,NO MSP,hingoli,maharashtra
vaijapur,nagali,2015,NO MSP,NO MSP,aurangabad,maharashtra
morshi,soybean,2014,NO MSP,NO MSP,amaravathi,maharashtra
morshi,soybean,2015,NO MSP,NO MSP,amaravathi,maharashtra
morshi,soybean,2016,NO MSP,NO MSP,amaravathi,maharashtra
ashti (jalna),green gram,2015,NO MSP,NO MSP,jalna,maharashtra
ashti (jalna),green gram,2016,NO MSP,NO MSP,jalna,maharashtra
nampur,bajri,2016,168.9000000000001,168.9000000000001,nasik,maharashtra
kalyan,bor,2014,NO MSP,NO MSP,thane,maharashtra
kalyan,bor,2015,NO MSP,NO MSP,thane,maharashtra
kalyan,bor,2016,NO MSP,NO MSP,thane,maharashtra
murtizapur,wheat(husked),2014,-54.25,-169.75,akola,maharashtra
murtizapur,wheat(husked),2015,-163.72727272727275,-163.090909090909,akola,maharashtra
murtizapur,wheat(husked),2016,NO MSP,NO MSP,akola,maharashtra
ahmednagar,carrot,2015,NO MSP,NO MSP,ahmadnagar,maharashtra
ahmednagar,carrot,2016,NO MSP,NO MSP,ahmadnagar,maharashtra
rahata,coriander ,2015,NO MSP,NO MSP,ahmadnagar,maharashtra
naigaon,cotton,2014,200.0,200.0,nanded,maharashtra
naigaon,cotton,2015,256.25,256.25,nanded,maharashtra
naigaon,cotton,2016,940.0,940.0,nanded,maharashtra
mehkar,soybean,2014,NO MSP,NO MSP,buldhana,maharashtra
mehkar,soybean,2015,NO MSP,NO MSP,buldhana,maharashtra
mehkar,soybean,2016,NO MSP,NO MSP,buldhana,maharashtra
amarawati-fruit and vegetables,chikoo,2016,NO MSP,NO MSP,amaravathi,maharashtra
palus,bottle gourd,2016,NO MSP,NO MSP,sangli,maharashtra
raver,green gram,2014,NO MSP,NO MSP,jalgaon,maharashtra
raver,green gram,2015,NO MSP,NO MSP,jalgaon,maharashtra
raver,green gram,2016,NO MSP,NO MSP,jalgaon,maharashtra
palam,pigeon pea (tur),2015,1219.25,1219.25,parbhani,maharashtra
palam,pigeon pea (tur),2016,3875.0,3875.0,parbhani,maharashtra
risod,sesamum,2015,1310.0,1310.0,wasim,maharashtra
jalna,mustard,2014,525.0,-645.0,jalna,maharashtra
jalna,mustard,2015,147.28571428571422,188.28571428571422,jalna,maharashtra
jalna,mustard,2016,NO MSP,NO MSP,jalna,maharashtra
dondaicha,cotton,2014,287.5,-719.0,dhule,maharashtra
dondaicha,cotton,2015,117.33333333333348,138.0,dhule,maharashtra
pune,garlic,2014,NO MSP,NO MSP,pune,maharashtra
pune,garlic,2015,NO MSP,NO MSP,pune,maharashtra
pune,garlic,2016,NO MSP,NO MSP,pune,maharashtra
osmanabad,potato,2014,NO MSP,NO MSP,osmanabad,maharashtra
osmanabad,potato,2015,NO MSP,NO MSP,osmanabad,maharashtra
osmanabad,potato,2016,NO MSP,NO MSP,osmanabad,maharashtra
aurangabad,cucumber,2014,NO MSP,NO MSP,aurangabad,maharashtra
aurangabad,cucumber,2015,NO MSP,NO MSP,aurangabad,maharashtra
aurangabad,cucumber,2016,NO MSP,NO MSP,aurangabad,maharashtra
loha,sorgum(jawar),2014,-266.66666666666674,-490.0,nanded,maharashtra
loha,sorgum(jawar),2015,-297.1111111111111,-306.1111111111111,nanded,maharashtra
loha,sorgum(jawar),2016,-251.875,-230.375,nanded,maharashtra
solapur,potato,2014,NO MSP,NO MSP,solapur,maharashtra
solapur,potato,2015,NO MSP,NO MSP,solapur,maharashtra
solapur,potato,2016,NO MSP,NO MSP,solapur,maharashtra
kalmeshwar,cluster bean,2015,NO MSP,NO MSP,nagpur,maharashtra
kalmeshwar,cluster bean,2016,NO MSP,NO MSP,nagpur,maharashtra
lasalgaon-niphad,green gram,2016,NO MSP,NO MSP,nasik,maharashtra
amarawati-fruit and vegetables,onion,2016,NO MSP,NO MSP,amaravathi,maharashtra
chandur bajar,green gram,2016,NO MSP,NO MSP,amaravathi,maharashtra
akole,onion,2014,NO MSP,NO MSP,ahmadnagar,maharashtra
akole,onion,2015,NO MSP,NO MSP,ahmadnagar,maharashtra
akole,onion,2016,NO MSP,NO MSP,ahmadnagar,maharashtra
jalgaon,sesamum,2014,5600.0,5600.0,jalgaon,maharashtra
khed-chakan,tomato,2015,NO MSP,NO MSP,pune,maharashtra
khed-chakan,tomato,2016,NO MSP,NO MSP,pune,maharashtra
paranda,onion,2015,NO MSP,NO MSP,osmanabad,maharashtra
paranda,onion,2016,NO MSP,NO MSP,osmanabad,maharashtra
indapur-bhigwan,horse gram,2014,NO MSP,NO MSP,pune,maharashtra
indapur-bhigwan,horse gram,2015,NO MSP,NO MSP,pune,maharashtra
indapur-bhigwan,horse gram,2016,NO MSP,NO MSP,pune,maharashtra
solapur,green gram,2014,NO MSP,NO MSP,solapur,maharashtra
solapur,green gram,2015,NO MSP,NO MSP,solapur,maharashtra
solapur,green gram,2016,NO MSP,NO MSP,solapur,maharashtra
ahmednagar,maize (corn.),2016,NO MSP,NO MSP,ahmadnagar,maharashtra
pune,onion,2014,NO MSP,NO MSP,pune,maharashtra
pune,onion,2015,NO MSP,NO MSP,pune,maharashtra
pune,onion,2016,NO MSP,NO MSP,pune,maharashtra
osmanabad,sorgum(jawar),2014,-34.0,-519.0,osmanabad,maharashtra
osmanabad,sorgum(jawar),2015,-121.85714285714289,-118.85714285714289,osmanabad,maharashtra
osmanabad,sorgum(jawar),2016,-32.27272727272725,-157.63636363636374,osmanabad,maharashtra
barshi,coriander  ,2014,NO MSP,NO MSP,solapur,maharashtra
barshi,coriander  ,2015,NO MSP,NO MSP,solapur,maharashtra
barshi,coriander  ,2016,NO MSP,NO MSP,solapur,maharashtra
nira-saswad,sorgum(jawar),2015,21.666666666666742,-161.0,pune,maharashtra
nira-saswad,sorgum(jawar),2016,-25.454545454545496,-78.09090909090901,pune,maharashtra
hadgaon-tamsa,gram,2016,NO MSP,NO MSP,nanded,maharashtra
kolhapur,small gourd,2015,NO MSP,NO MSP,kolhapur,maharashtra
kolhapur,small gourd,2016,NO MSP,NO MSP,kolhapur,maharashtra
dhule,garlic,2016,NO MSP,NO MSP,dhule,maharashtra
chalisgaon,onion,2016,NO MSP,NO MSP,jalgaon,maharashtra
kamthi,methi (bhaji),2014,NO MSP,NO MSP,nagpur,maharashtra
kamthi,methi (bhaji),2015,NO MSP,NO MSP,nagpur,maharashtra
kamthi,methi (bhaji),2016,NO MSP,NO MSP,nagpur,maharashtra
murtizapur,gram,2014,NO MSP,NO MSP,akola,maharashtra
murtizapur,gram,2015,NO MSP,NO MSP,akola,maharashtra
murtizapur,gram,2016,NO MSP,NO MSP,akola,maharashtra
latur,sunflower,2014,-1177.3333333333335,-1177.3333333333335,latur,maharashtra
latur,sunflower,2015,-492.0,-492.0,latur,maharashtra
latur,sunflower,2016,-542.5,-542.5,latur,maharashtra
nagpur,castor seed,2015,NO MSP,NO MSP,nagpur,maharashtra
barshi-vairag,paddy-unhusked,2014,-560.0,-560.0,solapur,maharashtra
barshi-vairag,paddy-unhusked,2015,-24.0,-24.0,solapur,maharashtra
barshi-vairag,paddy-unhusked,2016,-169.0,-169.0,solapur,maharashtra
amarawati,carrot,2015,NO MSP,NO MSP,amaravathi,maharashtra
amarawati,carrot,2016,NO MSP,NO MSP,amaravathi,maharashtra
palus,green-peas,2015,NO MSP,NO MSP,sangli,maharashtra
palus,green-peas,2016,NO MSP,NO MSP,sangli,maharashtra
nagpur,ambat chuka,2015,NO MSP,NO MSP,nagpur,maharashtra
nagpur,ambat chuka,2016,NO MSP,NO MSP,nagpur,maharashtra
mehkar,green gram,2014,NO MSP,NO MSP,buldhana,maharashtra
mehkar,green gram,2015,NO MSP,NO MSP,buldhana,maharashtra
mehkar,green gram,2016,NO MSP,NO MSP,buldhana,maharashtra
kolhapur,shepu,2015,NO MSP,NO MSP,kolhapur,maharashtra
kolhapur,shepu,2016,NO MSP,NO MSP,kolhapur,maharashtra
nashik,bitter gourd,2014,NO MSP,NO MSP,nasik,maharashtra
nashik,bitter gourd,2015,NO MSP,NO MSP,nasik,maharashtra
nashik,bitter gourd,2016,NO MSP,NO MSP,nasik,maharashtra
ramtek,other pulses,2015,NO MSP,NO MSP,nagpur,maharashtra
ramtek,other pulses,2016,NO MSP,NO MSP,nagpur,maharashtra
varud,castor seed,2015,NO MSP,NO MSP,amaravathi,maharashtra
amarawati,bullock heart,2016,NO MSP,NO MSP,amaravathi,maharashtra
mumbai,bitter gourd,2014,NO MSP,NO MSP,mumbai,maharashtra
mumbai,bitter gourd,2015,NO MSP,NO MSP,mumbai,maharashtra
mumbai,bitter gourd,2016,NO MSP,NO MSP,mumbai,maharashtra
kalyan (cattle market),kalvad,2016,NO MSP,NO MSP,thane,maharashtra
bodwad-varangaon,gram,2016,NO MSP,NO MSP,jalgaon,maharashtra
pavani,green gram,2015,NO MSP,NO MSP,bhandara,maharashtra
pavani,green gram,2016,NO MSP,NO MSP,bhandara,maharashtra
kamthi,green chilli,2014,NO MSP,NO MSP,nagpur,maharashtra
kamthi,green chilli,2015,NO MSP,NO MSP,nagpur,maharashtra
kamthi,green chilli,2016,NO MSP,NO MSP,nagpur,maharashtra
mauda,coriander (dry),2016,NO MSP,NO MSP,nagpur,maharashtra
balapur,other cereals,2015,NO MSP,NO MSP,akola,maharashtra
ramtek,rice(paddy-hus),2014,200.0,200.0,nagpur,maharashtra
ramtek,rice(paddy-hus),2015,-20.0,-20.0,nagpur,maharashtra
ramtek,rice(paddy-hus),2016,241.0,241.0,nagpur,maharashtra
alibag,coconut,2016,199.5999999999999,199.5999999999999,raigad,maharashtra
lasalgaon,tomato,2014,NO MSP,NO MSP,nasik,maharashtra
lasalgaon,tomato,2016,NO MSP,NO MSP,nasik,maharashtra
dhule,chillies(red),2014,NO MSP,NO MSP,dhule,maharashtra
dhule,chillies(red),2015,NO MSP,NO MSP,dhule,maharashtra
dhule,chillies(red),2016,NO MSP,NO MSP,dhule,maharashtra
chikhali,sorgum(jawar),2014,-408.33333333333326,-812.0,buldhana,maharashtra
chikhali,sorgum(jawar),2015,-437.33333333333326,-472.44444444444434,buldhana,maharashtra
chikhali,sorgum(jawar),2016,-401.27272727272725,-564.8181818181818,buldhana,maharashtra
solapur,rice(paddy-hus),2014,740.5,-7.0,solapur,maharashtra
solapur,rice(paddy-hus),2015,670.0833333333335,640.75,solapur,maharashtra
solapur,rice(paddy-hus),2016,693.2727272727275,357.63636363636374,solapur,maharashtra
bhivandi,other vegetables,2014,NO MSP,NO MSP,thane,maharashtra
bhivandi,other vegetables,2015,NO MSP,NO MSP,thane,maharashtra
bhivandi,other vegetables,2016,NO MSP,NO MSP,thane,maharashtra
ramtek,custard apple,2015,NO MSP,NO MSP,nagpur,maharashtra
ramtek,custard apple,2016,NO MSP,NO MSP,nagpur,maharashtra
karad,lemon,2015,NO MSP,NO MSP,satara,maharashtra
karad,lemon,2016,NO MSP,NO MSP,satara,maharashtra
vaduj,sorgum(jawar),2014,607.75,-128.25,satara,maharashtra
vaduj,sorgum(jawar),2015,498.4166666666665,465.3333333333335,satara,maharashtra
vaduj,sorgum(jawar),2016,504.2727272727275,175.090909090909,satara,maharashtra
kamthi,green-peas,2014,NO MSP,NO MSP,nagpur,maharashtra
kamthi,green-peas,2015,NO MSP,NO MSP,nagpur,maharashtra
kamthi,green-peas,2016,NO MSP,NO MSP,nagpur,maharashtra
kalamb (yawatmal),soybean,2014,NO MSP,NO MSP,yewatmal,maharashtra
kalamb (yawatmal),soybean,2015,NO MSP,NO MSP,yewatmal,maharashtra
kalamb (yawatmal),soybean,2016,NO MSP,NO MSP,yewatmal,maharashtra
nampur,black gram,2016,NO MSP,NO MSP,nasik,maharashtra
pune,gram,2014,NO MSP,NO MSP,pune,maharashtra
pune,gram,2015,NO MSP,NO MSP,pune,maharashtra
pune,gram,2016,NO MSP,NO MSP,pune,maharashtra
nagpur,ladies finger,2014,NO MSP,NO MSP,nagpur,maharashtra
nagpur,ladies finger,2015,NO MSP,NO MSP,nagpur,maharashtra
nagpur,ladies finger,2016,NO MSP,NO MSP,nagpur,maharashtra
ahmedpur,green gram,2014,NO MSP,NO MSP,latur,maharashtra
ahmedpur,green gram,2015,NO MSP,NO MSP,latur,maharashtra
ahmedpur,green gram,2016,NO MSP,NO MSP,latur,maharashtra
basmat (kurunda),black gram,2016,NO MSP,NO MSP,hingoli,maharashtra
tumsar,black gram,2014,NO MSP,NO MSP,bhandara,maharashtra
tumsar,black gram,2015,NO MSP,NO MSP,bhandara,maharashtra
tumsar,black gram,2016,NO MSP,NO MSP,bhandara,maharashtra
indapur,matki,2016,NO MSP,NO MSP,pune,maharashtra
yawal,cotton,2014,19.0,19.0,jalgaon,maharashtra
yawal,cotton,2015,218.0,218.0,jalgaon,maharashtra
yawal,cotton,2016,297.0,297.0,jalgaon,maharashtra
hingoli,sorgum(jawar),2014,-373.5,-777.0,hingoli,maharashtra
hingoli,sorgum(jawar),2015,-109.55555555555566,-148.1111111111111,hingoli,maharashtra
hingoli,sorgum(jawar),2016,156.0,78.5,hingoli,maharashtra
aurangabad,squash gourd,2016,NO MSP,NO MSP,aurangabad,maharashtra
pune-pimpri,bottle gourd,2014,NO MSP,NO MSP,pune,maharashtra
pune-pimpri,bottle gourd,2015,NO MSP,NO MSP,pune,maharashtra
pune-pimpri,bottle gourd,2016,NO MSP,NO MSP,pune,maharashtra
darwha,pigeon pea (tur),2015,2095.0,2095.0,yewatmal,maharashtra
darwha,pigeon pea (tur),2016,4075.0,4075.0,yewatmal,maharashtra
patan,brinjal,2014,NO MSP,NO MSP,satara,maharashtra
patan,brinjal,2015,NO MSP,NO MSP,satara,maharashtra
patan,brinjal,2016,NO MSP,NO MSP,satara,maharashtra
panvel,rice(paddy-hus),2016,-100.0,-100.0,raigad,maharashtra
kada,ground nut pods (dry),2015,NO MSP,NO MSP,beed,maharashtra
shrirampur,mustard,2015,-4.0,-4.0,ahmadnagar,maharashtra
shrirampur,mustard,2016,NO MSP,NO MSP,ahmadnagar,maharashtra
hingoli-kanegaon naka,pigeon pea (tur),2016,1038.5,1038.5,hingoli,maharashtra
pune-manjri,mango(raw),2015,NO MSP,NO MSP,pune,maharashtra
pune-manjri,mango(raw),2016,NO MSP,NO MSP,pune,maharashtra
bhandara,other cereals,2015,NO MSP,NO MSP,bhandara,maharashtra
bhandara,other cereals,2016,NO MSP,NO MSP,bhandara,maharashtra
pune,potato,2014,NO MSP,NO MSP,pune,maharashtra
pune,potato,2015,NO MSP,NO MSP,pune,maharashtra
pune,potato,2016,NO MSP,NO MSP,pune,maharashtra
malkapur,maize,2014,-361.33333333333337,-530.6666666666666,buldhana,maharashtra
malkapur,maize,2015,-182.72727272727275,-185.5454545454545,buldhana,maharashtra
malkapur,maize,2016,-64.5454545454545,-132.81818181818176,buldhana,maharashtra
ralegaon,gram,2015,NO MSP,NO MSP,yewatmal,maharashtra
ralegaon,gram,2016,NO MSP,NO MSP,yewatmal,maharashtra
vaduj,wheat(husked),2015,105.63636363636374,-100.18181818181824,satara,maharashtra
vaduj,wheat(husked),2016,NO MSP,NO MSP,satara,maharashtra
hanegaon,black gram,2016,NO MSP,NO MSP,nanded,maharashtra
kolhapur-malkapur,bitter gourd,2016,NO MSP,NO MSP,kolhapur,maharashtra
lasur station,wheat(husked),2014,104.33333333333326,-499.33333333333337,aurangabad,maharashtra
lasur station,wheat(husked),2015,-83.5,-93.75,aurangabad,maharashtra
lasur station,wheat(husked),2016,NO MSP,NO MSP,aurangabad,maharashtra
kille dharur,niger-seed,2015,350.0,350.0,beed,maharashtra
kille dharur,niger-seed,2016,874.0,874.0,beed,maharashtra
samudrapur,pigeon pea (tur),2015,2837.8,2010.6000000000004,wardha,maharashtra
samudrapur,pigeon pea (tur),2016,2729.6000000000004,2073.6000000000004,wardha,maharashtra
gevrai,matki,2014,NO MSP,NO MSP,beed,maharashtra
gevrai,matki,2015,NO MSP,NO MSP,beed,maharashtra
gevrai,matki,2016,NO MSP,NO MSP,beed,maharashtra
kalyan,garlic,2014,NO MSP,NO MSP,thane,maharashtra
kalyan,garlic,2015,NO MSP,NO MSP,thane,maharashtra
kalyan,garlic,2016,NO MSP,NO MSP,thane,maharashtra
